doc_key;from_id;to_id;text;from_placename;to_placename;error
0423_0001-0001-0000-0006-0003;Q29;Q35958;od květné Spánie až ku Bosporu;Spain;Bosporus Strait;
0430_0001-0002-0000-0004-0000;Q122443;Q1524;z Attiky se vrátil k dáli . Trůn Athén;Attica;Athens;
0432_0001-0000-0000-0004-0000;Q23522;Q157290;od Balkánu k Šumavě;Balkans;Bohemian Forest;
0432_0001-0000-0000-0023-0000;Q1286;Q13924;od Alp k vlnám Adrie;Alps;Adriatic Sea;
0432_0001-0000-0000-0023-0000;Q1286;Q1653;od Alp k vlnám Adrie a k Dunaji;Alps;Danube;
0432_0001-0000-0000-0023-0000;Q13924;Q1653;od Alp k vlnám Adrie a k Dunaji;Adriatic Sea;Danube;repeated
0433_0001-0000-0000-0009-0000;Q214644;Q157290;od Krkonoš do Šumavy;Giant Mountains;Bohemian Forest;
0436_0001-0000-0000-0017-0000;Q157290;Q616334;od Šumavy dálné k Vyšehradu;Bohemian Forest;Vyšehrad;
0449_0001-0006-0000-0001-0000;Q131210;Q194263;od Adriina břehu po Dněstru proud a odtud až po Tater;Dniester;Tatra Mountains;
0454_0001-0001-0000-0028-0000;Q179251;Q1085;z Moravěnky do Prahy;Morava;Prague;
0459_0001-0001-0000-0001-0000;Q201582;Q5451;od Pindských hor až k patě Himalaje;Pindus;Himalayas;
0466_0001-0000-0000-0001-0000;Q1229;Q13924;Od pramene Donu k Sinému;Don;Adriatic Sea;
0547_0001-0001-0000-0012-0000;Q223;Q1492;Z Gronska jsem rozběh’ se do Barcelony;Greenland;Barcelona;
0561_0001-0001-0000-0016-0000;Q220;Q2749;z Říma do Augšpurku;Rome;Augsburg;
0561_0001-0001-0000-0052-0000;Q617;Q387095;z Padovy známým jemu astrologem , do služeb jeho vstoupil u Šteinavy;Padua;Ścinawa;
0562_0001-0000-0000-0047-0005;Q6247;Q111144;z Mantuy obrátil se do Canossy;Mantua;Canossa;
0577_0001-0000-0000-0020-0000;Q79;Q145;od Egyptu až k dálné Britanii;Egypt;United Kingdom;
0580_0001-0000-0000-0009-0000;Q220;Q2634;od Romy k Napoli;Rome;Naples;
0588_0001-0007-0000-0001-0000;Q4373;Q220;z Bílé Hory přes Kostnici k Římu;Battle of White Mountain;Rome;
0588_0001-0007-0000-0001-0000;Q3834;Q220;z Bílé Hory přes Kostnici k Římu;Constance;Rome;
0588_0001-0011-0000-0003-0000;Q744598;Q1734030;z Hradčan do Karlína;Hradčany;Karlín;
0589_0001-0000-0000-0019-0000;Q159;Q668;z Ruska do Indie;Russia;India;
0589_0001-0000-0000-0023-0000;Q1741;Q2978;Od Vídně až k Regenšpurku;Vienna;Regensburg;
0589_0001-0000-0000-0040-0003;Q649;Q90;z Moskvy do Paříže;Moscow;Paris;
0589_0001-0000-0000-0059-0000;Q207927;Q90;od Bereziny ujel do Paříže;Berezina River;Paris;
0599_0001-0000-0000-0007-0000;Q17252;Q220;z Tibetu poslal velkou deputaci do Říma;Tibet;Rome;
0605_0001-0000-0000-0001-0000;Q378120;Q427604;od Žižkova až k Petřínu;Žižkov;Petřín;
0605_0001-0000-0000-0003-0000;Q660795;Q4373;z Dürnkrut * ) až k naší Bílé Hoře;Dürnkrut;Battle of White Mountain;
0608_0001-0000-0000-0050-0000;Q58477;Q220;z Capuy jde k Římu;Capua;Rome;
0609_0001-0000-0000-0059-0000;Q13670;Q1282;ze Syrakus a směřovala ku Latia;Syracuse;Lazio;
0620_0001-0000-0000-0008-0000;Q32;Q213;z Lucemburka , který zapad do drahých Čech;Luxembourg;Czech Republic;
0621_0001-0000-0000-0060-0000;Q131638;Q372490;ze Skadaru , Skočí dolů do Bojany;Shkodër;Bojana;
0626_0001-0007-0000-0010-0000;Q157290;Q617511;Od Šumavy až ku Snězce bílé;Bohemian Forest;Sněžka;
0640_0001-0002-0000-0002-0000;Q131574;Q279943;od Vltavy k Lužnici;Vltava;Lužnice;
0642_0001-0002-0000-0007-0000;Q1085;Q2092696;z Prahy do Rabí;Prague;Rabí;
0646_0001-0001-0000-0004-0002;Q1453427;Q445762;Z Týnského chrámu procesí se béře k Mostecké bráně;Church of Our Lady before Týn;Old Town Bridge Tower;
0673_0001-0007-0000-0013-0000;Q155045;Q43266;Od Ohře k Moravě;Ohře;Moravia;
0688_0001-0000-0000-0001-0004;Q858;Q79;z Syrye do Egypta;Syria;Egypt;
0692_0003-0001-0001-0013-0000;Q1013032;Q1085;od Jinonic ostře k Praze;Jinonice;Prague;
0707_0002-0000-0000-0061-0000;Q4373;Q1069359;Od Bílé hory až po Chemin des;Battle of White Mountain;Chemin des Dames;
0738_0001-0000-0000-0025-0000;Q2669840;Q2003236;z Růže a kraj od Hlízova k Novým Dvorům;Hlízov;Nové Dvory;repeated
0738_0001-0000-0000-0025-0000;Q2669840;Q2003236;od Hlízova k Novým Dvorům;Hlízov;Nové Dvory;
0738_0001-0000-0000-0025-0000;Q12029066;Q48399411;od temene Kaňku k Horské bráně;Kaňk;Horská brána;
0763_0001-0000-0000-0009-0000;Q35600;Q157290;od Uralu k Šumavě;Ural Mountains;Bohemian Forest;
0763_0001-0000-0000-0009-0000;Q157290;Q131574;od Uralu k Šumavě , od Balkánu k Vltavě;Bohemian Forest;Vltava;remove
0763_0001-0000-0000-0009-0000;Q23522;Q131574;od Balkánu k Vltavě;Balkans;Vltava;
0779_0001-0000-0000-0008-0000;Q35600;Q157290;od Uralu až po Šumavu;Ural Mountains;Bohemian Forest;
0791_0001-0000-0000-0001-0125;Q38;Q5684;z čarných luhů krásné Italije Jde k Babylonu;Italy;Babylon;
0803_0001-0000-0000-0001-0000;Q1644;Q1085;Od Labe i od Moravy k Praze;Elbe;Prague;
0803_0001-0000-0000-0001-0000;Q43266;Q1085;Od Labe i od Moravy k Praze;Moravia;Prague;
0803_0001-0000-0000-0001-0000;Q43266;Q1085;od Moravy k Praze;Moravia;Prague;remove
0803_0001-0000-0000-0002-0000;Q545;Q23522;od Baltu až tam k Balkánu;Baltic Sea;Balkans;
0803_0001-0000-0000-0005-0000;Q43266;Q1085;Od Labe i od Moravy Přiviňme se k matce Praze;Moravia;Prague;
0803_0001-0000-0000-0005-0000;Q43266;Q1085;od Moravy Přiviňme se k matce Praze;Moravia;Prague;
0803_0001-0000-0000-0005-0000;Q194263;Q157290;Od Tater až do Šumavy;Tatra Mountains;Bohemian Forest;
0811_0001-0001-0000-0023-0000;Q548;Q204347;Od Visly , Volhy po Maricu;Vistula;Maritsa;
0811_0001-0001-0000-0023-0000;Q626;Q204347;Od Visly , Volhy po Maricu;Volga;Maritsa;
0812_0001-0002-0000-0027-0000;Q157290;Q35600;od Šumavy do Uralu;Bohemian Forest;Ural Mountains;
0812_0001-0002-0000-0028-0000;Q845990;Q3506100;od Kriváně k Choči;Kriváň;Veľký Choč;
0823_0001-0000-0000-0001-0001;Q213;Q584;Z Čech tisíc očí hledí k Rýnu;Czech Republic;Rhine;
0835_0001-0001-0000-0006-0000;Q5836;Q5836;od Toleda a k Toledu;Toledo;Toledo;
0838_0001-0001-0000-0004-0000;Q43266;Q1085;z Moravy ke Praze;Moravia;Prague;
0838_0001-0001-0000-0023-0000;Q43266;Q194263;z Moravy až vzhůru do Tater;Moravia;Tatra Mountains;
0845_0001-0000-0000-0013-0000;Q22647;Q38;z Troje do Vlach;Troy;Italy;
0848_0001-0000-0000-0298-0000;Q378120;Q1085;Z východu Žižkov zří k Praze;Žižkov;Prague;
0851_0001-0000-0000-0019-0000;Q12039461;Q1488700;od Můstku k Prašné bráně;Můstek;Powder Tower;
0851_0001-0000-0000-0021-0000;Q142;Q148;od Francouzska po Kytaj;France;People's Republic of China;
0870_0001-0000-0000-0004-0000;Q163329;Q79;Z Kanaanu do Egypta;Canaan;Egypt;
0880_0001-0000-0000-0002-0002;Q15682;Q15;Z Kadixu jsme do Afriky;Cádiz;Africa;
0883_0001-0003-0001-0010-0000;Q35600;Q157290;Od Urálu do Šumavy;Ural Mountains;Bohemian Forest;
0883_0001-0003-0001-0010-0000;Q35600;Q545;Od Urálu do Šumavy , k vlnám Baltu;Ural Mountains;Baltic Sea;remove
0883_0001-0003-0001-0010-0000;Q157290;Q545;Od Urálu do Šumavy , k vlnám Baltu;Bohemian Forest;Baltic Sea;
0888_0001-0000-0000-0041-0000;Q43453;Q470380;od Plzně až do Přerova;Plzeň;Přerov;
0888_0001-0000-0000-0041-0000;Q43453;Q470380;od Plzně až ku Přerovu;Plzeň;Přerov;
0888_0001-0000-0000-0068-0000;Q168234;Q393474;Od Zbirova k Žebráku;Zbiroh;Žebrák;
0888_0001-0000-0000-0068-0000;Q168234;Q1972068;od Zbirova do Točníka;Zbiroh;Točník;
0896_0001-0000-0000-0001-0000;Q157290;Q194263;od Šumavy až k Tatrám v;Bohemian Forest;Tatra Mountains;
0954_0001-0001-0000-0006-0000;Q674016;Q131574;od Pradědu až k pěnné Vltavě;Praděd;Vltava;
0954_0001-0003-0000-0019-0000;Q13924;Q214644;od Adrie až k strmým chlumům Krkonošských hor;Adriatic Sea;Giant Mountains;
0954_0001-0003-0000-0019-0000;Q157290;Q1286;od Šumavy až k šedým Alpům;Bohemian Forest;Alps;
0955_0001-0000-0000-0026-0000;Q1008595;Q131574;Od Vrchlabí k Vltavě;Vrchlabí;Vltava;
0969_0001-0002-0000-0038-0000;Q157290;Q5955;Od Šumavy k Altaj -;Bohemian Forest;Altai Mountains;
0971_0001-0000-0000-0001-0006;Q83241;Q104028;z Galílee na ta slova do země Judské;Galilee;Judea;
0971_0001-0000-0000-0001-0006;Q5776;Q5776;z Betléma já do Betléma;Bethlehem;Bethlehem;
0980_0001-0000-0000-0001-0002;Q37985;Q34713;z Korutanska , i po arciknězi Solnohradu;Carinthia;Salzburg;
0982_0001-0001-0001-0008-0000;Q60956;Q2915661;od Askalonu ke bránám Rámy;Ashkelon;Rameh;
0985_0001-0001-0000-0005-0000;Q617511;Q171080;Od Sněžky až ku Kotarské věži;Sněžka;Kotor;
0996_0001-0000-0000-0005-0007;Q15;Q46;z mládí z pouště Afrikánské do Evropy;Africa;Europe;
0996_0001-0000-0000-0005-0007;Q15;Q46;z pouště Afrikánské do Evropy;Africa;Europe;
0998_0001-0003-0000-0018-0000;Q43266;Q213;Z Moravy k nám do Čech;Moravia;Czech Republic;
1000_0001-0001-0000-0013-0000;Q23522;Q13924;Od ledu k Balkánu , z Baltu k Adrii;Balkans;Adriatic Sea;remove
1000_0001-0001-0000-0013-0000;Q545;Q13924;z Baltu k Adrii;Baltic Sea;Adriatic Sea;
1000_0001-0001-0000-0013-0000;Q13924;Q194263;z Baltu k Adrii , z českých hor do Tater;Adriatic Sea;Tatra Mountains;remove
1001_0001-0000-0000-0001-0002;Q23522;Q4110;z hor Balkanských lůna Až k Arkoně Baltem;Balkans;Cape Arkona;
1008_0001-0004-0000-0005-0000;Q41;Q14314;z Řecka jakýs poutník přišel , do Sanjaga;Greece;Santiago de Compostela;
1008_0001-0011-0000-0012-0000;Q4040;Q8818;z Arragonu dědicovi . Do Valencie;Aragon;Valencia;
1019_0001-0001-0000-0001-0003;Q35600;Q48;od Urálu větrů křídlem ku Byzanci . Na pobřeží Asiatském;Ural Mountains;Asia;
1022_0001-0004-0000-0003-0000;Q427604;Q616334;Od Petřína k Vyšehradu;Petřín;Vyšehrad;
1023_0001-0000-0000-0001-0003;Q202422;Q180918;z Lapethy , Kuria i Salaminy vše valilo se do Pafu;Salamis Island;Paphos;
1035_0001-0004-0000-0023-0000;Q215573;Q3812;od Beskyd lítá k Celebesu;Beskids;Sulawesi;
1041_0001-0002-0000-0001-0000;Q378120;Q427604;od Žižkova ku Petřínu;Žižkov;Petřín;
1042_0001-0007-0000-0007-0000;Q40059;Q131574;od Jordanských břehů jež vedla k břehům Vltavy;Jordan River;Vltava;
1045_0001-0001-0000-0011-0000;Q812;Q85;od Floridy do Kahýry;Florida;Cairo;
1047_0001-0002-0000-0060-0007;Q626;Q1644;od Volhy k Labi;Volga;Elbe;
1047_0001-0002-0000-0060-0008;Q626;Q23522;od Volhy až ku Balkánu;Volga;Balkans;
1054_0001-0002-0000-0008-0000;Q40855;Q1229;od Dněpru až k Donu;Dnieper;Don;
1057_0001-0000-0000-0002-0003;Q3255;Q148505;od Uznoima ku Volinu;Usedom;Wolin;
1062_0001-0003-0000-0003-0000;Q128087;Q5747;od Lesbu až do Palmyry;Lesbos;Palmyra;
1076_0001-0000-0000-0001-0003;Q1587293;Q1014196;od Hartmanic běží k Svojanovu;Hartmanice;Svojanov Castle;
1076_0001-0000-0000-0001-0007;Q584;Q602;od Rýna tak jako od Dunaje , od Temže až k Rhoně;Rhine;Rhône;multiple items order
1076_0001-0000-0000-0001-0007;Q1653;Q602;od Dunaje , od Temže až k Rhoně;Danube;Rhône;
1076_0001-0000-0000-0001-0007;Q19686;Q602;od Dunaje , od Temže až k Rhoně;River Thames;Rhône;
