"lang","doc_key","from_id","to_id","text","author_name","year_birth","year_death","from_placename","from_latitude","from_longitude","from_type","from_type_detail","to_placename","to_latitude","to_longitude","to_type","to_type_detail"
"cs","0353_0001-0002-0000-0002-0000","Q2662391","Q1066857","od Morači do Sitnice","Kapper, Siegfried",1821,1879,"Morač",52.5772,27.5872,"river","river","Sitnica (Ibar)",42.4068055555556,21.1911944444444,"river","river"
"cs","0353_0001-0002-0000-0005-0000","Q3560285","Q3123315","Od Vinićů přes Bělopavliće rovnou cestou ke Spužu","Kapper, Siegfried",1821,1879,"Vinići",42.6175,19.09083333,"village","village","Spuž",42.508055555556,19.193888888889,"village","village"
"cs","0388_0001-0000-0000-0016-0000","Q157290","Q35600","od Šumavy naší dálný po Urál","Klášterský, Antonín",1866,1938,"Bohemian Forest",49,13.5,"mountain","mountain","Ural Mountains",60,59,"mountain","mountain"
"cs","0397_0001-0000-0000-0001-0000","Q157290","Q194263","od Šumavy do Tater","Klášterský, Antonín",1866,1938,"Bohemian Forest",49,13.5,"mountain","mountain","Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain"
"cs","0397_0001-0000-0000-0007-0000","Q157290","Q194263","od Šumavy do Tater","Klášterský, Antonín",1866,1938,"Bohemian Forest",49,13.5,"mountain","mountain","Tatra Mountains",49.177777777778,19.908333333333,"mountain","mountain"
"cs","0408_0-0002-0000-0001-0000","Q584","Q1653","Ode Reynu až tam k zátoce , Kterou Dunaj","Kollár, Jan",1793,1852,"Rhine",47.6662,9.1786,"river","river","Danube",48.0951111111111,8.15488888888889,"river","river"
"cs","0410_0001-0001-0000-0001-0000","Q1644","Q548","Od Labe zrádného k rovinám až Visly nevěrné","Kollár, Jan",1793,1852,"Elbe",50.8875,14.2330555555556,"river","river","Vistula",54.3641,18.9522,"river","river"
"cs","0410_0001-0001-0000-0001-0000","Q548","Q545","Od Labe zrádného k rovinám až Visly nevěrné , Od Dunaje k heltným Baltu","Kollár, Jan",1793,1852,"Vistula",54.3641,18.9522,"river","river","Baltic Sea",58,20,"sea","sea"
"cs","0410_0001-0001-0000-0001-0000","Q1653","Q545","Od Dunaje k heltným Baltu","Kollár, Jan",1793,1852,"Danube",48.0951111111111,8.15488888888889,"river","river","Baltic Sea",58,20,"sea","sea"
"cs","0410_0001-0003-0000-0015-0000","Q13924","Q545","Od Adrie k Baltu","Kollár, Jan",1793,1852,"Adriatic Sea",42.775833,15.426111,"sea","sea","Baltic Sea",58,20,"sea","sea"
"cs","0410_0001-0003-0000-0015-0000","Q13924","Q33","Od Adrie k Baltu po zem Finskou","Kollár, Jan",1793,1852,"Adriatic Sea",42.775833,15.426111,"sea","sea","Finland",65,27,"country","country"
"cs","0410_0001-0003-0000-0015-0000","Q545","Q33","Od Adrie k Baltu po zem Finskou","Kollár, Jan",1793,1852,"Baltic Sea",58,20,"sea","sea","Finland",65,27,"country","country"
"cs","0410_0001-0003-0000-0074-0000","Q111224","Q497060","Od Těšmíra dále na Vagrie Levou stranu jdeme do Plonu","Kollár, Jan",1793,1852,"Holstein",54.1667,9.66667,"region","land","Plön",54.162222222222,10.421388888889,"city","city"
"cs","0410_0001-0003-0000-0094-0000","Q2978","Q11863119","z Řezna do Děvína","Kollár, Jan",1793,1852,"Regensburg",49.0166666666667,12.0833333333333,"city","city","Děvín",50.045278,14.391667,"mountain","mountain"
"cs","0410_0001-0003-0000-0137-0000","Q130321","Q1024","Od Athosa k Trigle","Kollár, Jan",1793,1852,"Mount Athos",40.1583333333333,24.3272222222222,"mountain","mountain","Triglav",46.378333,13.836667,"mountain","mountain"
"cs","0410_0001-0003-0000-0137-0000","Q130321","Q104520","Od Athosa k Trigle , k Pomořanům","Kollár, Jan",1793,1852,"Mount Athos",40.1583333333333,24.3272222222222,"mountain","mountain","Pomerania",54.29443,18.15312,"region","historic region"
